Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-11-16,166.68,167.76,166.06,167.5,4585477.0,0.0,1.0,155.08958286888074,156.09448297386268,154.5126957715763,155.85256257821888,4585477.0
2017-11-15,167.44,167.44,165.35,165.47,5534520.0,0.0,1.0,155.79673479460877,155.79673479460877,153.85206699885666,153.96372256607688,5534520.0
2017-11-14,163.62,168.14,163.15,168.06,10281508.0,0.0,1.0,152.24236590476522,156.44805893672668,151.80504826648604,156.37362189191322,10281508.0
2017-11-13,164.64,166.64,164.25,165.35,7175307.0,0.0,1.0,153.19143822613705,155.05236434647398,152.82855763267133,153.85206699885666,7175307.0
2017-11-10,163.34,164.58,162.93,164.11,3554220.0,0.0,1.0,151.98183624791804,153.13561044252697,151.60034639324897,152.69829280424779,3554220.0
2017-11-09,164.1,164.135,162.28,163.27,3381255.0,0.0,1.0,152.68898817364607,152.72155438075197,150.99554540413945,151.91670383370626,3381255.0
2017-11-08,163.34,164.68,163.27,164.05,2661622.0,0.0,1.0,151.98183624791804,153.22865674854378,151.91670383370626,152.64246502063767,2661622.0
2017-11-07,164.09,164.4,162.83,163.66,3198129.0,0.0,1.0,152.6796835430444,152.96812709169663,151.50730008723212,152.27958442717195,3198129.0
2017-11-06,164.8,164.88,163.01,164.22,3275219.0,0.0,1.0,153.340312315764,153.41474936057747,151.67478343806243,152.8006437408663,3275219.0
2017-11-03,163.01,164.99,162.68,164.39,3080591.0,0.0,1.0,151.67478343806243,153.51710029719604,151.36773062820686,152.9588224610949,3080591.0
2017-11-02,165.01,165.01,160.53,162.71,6517095.0,0.0,1.0,153.5357095583994,153.5357095583994,149.36723504884463,151.3956445200119,6517095.0
2017-11-01,166.42,166.74,165.12,165.38,3568321.0,0.0,1.0,154.8476624732369,155.14541065249085,153.63806049501792,153.87998089066173,3568321.0
2017-10-31,165.4,166.34,165.1,165.78,2922416.0,0.0,1.0,153.8985901518651,154.77322542842344,153.61945123381454,154.2521661147291,2922416.0
2017-10-30,166.99,166.99,164.88,165.31,3906231.0,0.0,1.0,155.37802641753296,155.37802641753296,153.41474936057747,153.81484847644992,3906231.0
2017-10-27,166.8,167.75,166.46,167.34,3720385.0,0.0,1.0,155.20123843610097,156.085178343261,154.88488099564367,155.70368848859192,3720385.0
2017-10-26,166.39,167.94,166.1068,167.65,3750129.0,0.0,1.0,154.81974858143187,156.261966324693,154.55624144279216,155.99213203724415,3750129.0
2017-10-25,166.11,166.95,165.3803,166.09,2945980.0,0.0,1.0,154.5592189245847,155.3408078951262,153.88026002957977,154.54060966338133,2945980.0
2017-10-24,164.67,166.46,164.65,166.03,3686538.0,0.0,1.0,153.2193521179421,154.88488099564367,153.20074285673874,154.48478187977122,3686538.0
2017-10-23,164.04,166.265,163.75,164.74,3995025.0,0.0,1.0,152.63316039003595,154.7034406989108,152.3633261025871,153.2844845321539,3995025.0
2017-10-20,163.97,164.15,162.74,163.43,4166481.0,0.0,1.0,152.56802797582418,152.73551132665452,151.42355841181697,152.0655779233332,4166481.0
2017-10-19,163.5,164.11,162.77,163.24,2675062.0,0.0,1.0,152.130710337545,152.69829280424779,151.451472303622,151.8887899419012,2675062.0
2017-10-18,163.42,164.24,163.35,163.45,2758595.0,0.0,1.0,152.0562732927315,152.81925300206967,151.99114087851973,152.08418718453655,2758595.0
2017-10-17,164.22,164.92,161.5111,163.35,4189096.0,0.0,1.0,152.8006437408663,153.4519678829842,150.2801123571759,151.99114087851973,4189096.0
2017-10-16,164.47,164.67,163.26,164.22,2586716.0,0.0,1.0,153.0332595059084,153.2193521179421,151.90739920310455,152.8006437408663,2586716.0
2017-10-13,164.92,166.0699,164.35,164.47,3258984.0,0.0,1.0,153.4519678829842,154.52190735587195,152.92160393868818,153.0332595059084,3258984.0
2017-10-12,165.41,165.41,164.47,164.59,3397775.0,0.0,1.0,153.90789478246677,153.90789478246677,153.0332595059084,153.14491507312863,3397775.0
2017-10-11,165.19,165.865,164.45,165.25,2319274.0,0.0,1.0,153.7031929092297,154.33125547484343,153.01465024470502,153.7590206928398,2319274.0
2017-10-10,165.7,165.8,164.64,165.16,2755398.0,0.0,1.0,154.1777290699156,154.2707753759325,153.19143822613705,153.67527901742466,2755398.0
2017-10-09,166.14,166.63,165.42,165.71,2131587.0,0.0,1.0,154.58713281638975,155.04305971587232,153.91719941306846,154.18703370051733,2131587.0
2017-10-06,166.18,166.63,165.74,165.85,2916121.0,0.0,1.0,154.62435133879652,155.04305971587232,154.21494759232237,154.31729852894088,2916121.0
2017-10-05,165.07,166.25,164.26,166.12,3504865.0,0.0,1.0,153.59153734200947,154.6894837530083,152.83786226327302,154.5685235551864,3504865.0
2017-10-04,165.49,166.08,164.91,165.29,2746513.0,0.0,1.0,153.98233182728026,154.53130503277967,153.44266325238254,153.79623921524654,2746513.0
2017-10-03,164.06,165.28,164.0,165.17,3046281.0,0.0,1.0,152.65176965123933,153.78693458464488,152.59594186762922,153.68458364802632,3046281.0
2017-10-02,164.2,164.25,163.22,164.02,2721377.0,0.0,1.0,152.7820344796629,152.82855763267133,151.8701806806978,152.6145511288326,2721377.0
2017-09-29,162.5,163.61,162.15,163.56,3465252.0,0.0,1.0,151.20024727737652,152.23306127416353,150.87458520631756,152.1865381211551,3465252.0
2017-09-28,160.72,162.45,160.66,162.36,4613200.0,0.0,1.0,149.54402303027663,151.1537241243681,149.48819524666652,151.06998244895294,4613200.0
2017-09-27,161.38,161.69,160.14,160.92,3966113.0,0.0,1.0,150.15812864998784,150.44657219864007,149.00435445537892,149.73011564231032,3966113.0
2017-09-26,161.55,162.0,160.79,161.26,3222646.0,0.0,1.0,150.3163073702165,150.7350157472923,149.60915544448844,150.04647308276762,3222646.0
2017-09-25,160.05,161.43,159.75,161.1,4896374.0,0.0,1.0,148.9206127799638,150.20465180299627,148.64147386191323,149.89759899314066,4896374.0
2017-09-22,159.14,160.09,159.01,159.97,3576079.0,0.0,1.0,148.07389139521044,148.95783130237052,147.95293119738855,148.8461757351503,3576079.0
2017-09-21,158.87,159.556,158.72,159.19,3082093.0,0.0,1.0,147.82266636896497,148.46096402824057,147.6830969099397,148.1204145482189,3082093.0
2017-09-20,157.57,159.39,157.36,158.68,4598009.0,0.0,1.0,146.61306439074596,148.30650716025258,146.41766714811058,147.64587838753297,4598009.0
2017-09-19,157.8,158.32,157.16,157.66,3712727.0,0.0,1.0,146.82707089458472,147.3109116858723,146.2315745360769,146.69680606616112,3712727.0
2017-09-18,159.0,159.0,157.69,157.81,4010587.0,0.0,1.0,147.94362656678686,147.94362656678686,146.7247199579662,146.83637552518638,4010587.0
2017-09-15,159.98,159.99,158.29,158.4,9124244.0,0.0,1.0,148.85548036575196,148.86478499635368,147.28299779406726,147.3853487306858,9124244.0
2017-09-14,160.35,160.85,159.33,159.38,5287433.0,0.0,1.0,149.1997516980143,149.66498322809855,148.2506793766425,148.2972025296509,5287433.0
2017-09-13,160.39,161.38,159.55,160.02,4713676.0,0.0,1.0,149.23697022042103,150.15812864998784,148.45538124987954,148.89269888815872,4713676.0
2017-09-12,159.06,160.93,158.71,159.91,5793753.0,0.0,1.0,147.99945435039697,149.73942027291204,147.67379227933802,148.79034795154018,5793753.0
2017-09-11,158.42,158.74,156.22,158.37,8847928.0,0.0,1.0,147.40395799188914,147.7017061711431,145.35693925951853,147.35743483888075,8847928.0
2017-09-08,159.09,160.69,157.52,159.66,10088630.0,0.0,1.0,148.02736824220204,149.5161091384716,146.56654123773754,148.55773218649807,10088630.0
2017-09-07,158.17,159.28,156.79,157.93,8264524.0,0.0,1.0,147.17134222684703,148.20415622363404,145.88730320381455,146.9480310924066,8264524.0
2017-09-06,154.86,157.03,154.145,156.56,8126012.0,0.0,1.0,144.09150949768943,146.11061433825498,143.42622840966897,145.67329669997582,8126012.0
2017-09-05,151.71,153.92,151.7,152.93,7512387.0,0.0,1.0,141.16055085815873,143.21687422113104,141.15124622755704,142.29571579156428,7512387.0
2017-09-01,150.26,150.94,149.76,150.78,3383036.0,0.0,1.0,139.81137942091442,140.444094301829,139.3461478908302,140.29522021220205,3383036.0
2017-08-31,150.61,150.925,149.85,149.87,6083340.0,0.0,1.0,140.1370414919734,140.4301373559265,139.42988956624535,139.44849882744873,6083340.0
2017-08-30,150.0,150.25,149.28,150.0,3640966.0,0.0,1.0,139.56945902527065,139.80207479031276,138.89952562194935,139.56945902527065,3640966.0
2017-08-29,150.07,150.9,149.03,149.84,5368178.0,0.89,1.0,139.63459143948242,140.40687577942228,138.6669098569072,139.4205849356437,5368178.0
2017-08-28,151.94,152.39,150.43,151.39,6843168.0,0.0,1.0,140.53979748637764,140.95603355896463,139.14309422058568,140.0310645087713,6843168.0
2017-08-25,148.51,150.53,148.4,149.65,3047971.0,0.0,1.0,137.36715364421445,139.23559112560503,137.2654070486932,138.42161836143487,3047971.0
2017-08-24,149.73,150.6,147.98,148.25,3735364.0,0.0,1.0,138.49561588545032,139.30033895911856,136.87692004761197,137.12666169116417,3735364.0
2017-08-23,148.58,149.48,147.4271,149.1,5235444.0,0.0,1.0,137.431901477728,138.26437362290199,136.36550465976006,137.91288538382852,5235444.0
2017-08-22,149.29,150.58,149.29,149.91,3267404.0,0.0,1.0,138.08862950336527,139.2818395781147,138.08862950336527,138.66211031448515,3267404.0
2017-08-21,147.1,149.88,146.89,149.2,4222423.0,0.0,1.0,136.06294728344182,138.63436124297934,135.8687037829012,138.00538228884784,4222423.0
2017-08-18,149.61,149.61,146.96,147.49,6989147.0,0.0,1.0,138.38461959942714,138.38461959942714,135.93345161641477,136.42368521301725,6989147.0
2017-08-17,151.81,152.15,149.61,149.67,4460870.0,0.0,1.0,140.4195515098525,140.73404098691825,138.38461959942714,138.44011774243873,4460870.0
2017-08-16,151.45,152.95,151.16,152.25,6043303.0,0.0,1.0,140.08656265178288,141.47401622707292,139.81832162722682,140.8265378919376,6043303.0
2017-08-15,154.275,154.8,148.26,150.17,13528650.0,0.0,1.0,142.69960021857912,143.18520896993064,137.13591138166612,138.9026022675354,13528650.0
2017-08-14,156.04,156.05,153.56,154.26,6662484.0,0.0,1.0,144.33217059217037,144.34142028267232,142.03824734769088,142.68572568282622,6662484.0
2017-08-11,154.11,155.72,153.98,154.88,3650541.0,0.0,1.0,142.54698032529723,144.0361804961085,142.42673434877207,143.2592064939461,3650541.0
2017-08-10,155.19,155.98,153.88,153.88,4432313.0,0.0,1.0,143.54594689950602,144.27667244915878,142.33423744375273,142.33423744375273,4432313.0
2017-08-09,153.35,155.57,153.32,155.26,3844857.0,0.0,1.0,141.84400384715028,143.8974351385795,141.81625477564447,143.61069473301956,3844857.0
2017-08-08,153.32,154.2,153.08,153.35,3218945.0,0.0,1.0,141.81625477564447,142.6302275398146,141.59426220359808,141.84400384715028,3218945.0
2017-08-07,152.83,154.47,152.47,153.35,3833620.0,0.0,1.0,141.36301994104974,142.87996918336682,141.03003108298012,141.84400384715028,3833620.0
2017-08-04,151.01,152.75,150.8,152.75,3258581.0,0.0,1.0,139.67957626969783,141.28902241703426,139.48533276915722,141.28902241703426,3258581.0
2017-08-03,150.7,152.03,150.5,150.79,5146465.0,0.0,1.0,139.39283586413788,140.62304470089504,139.20784205409922,139.47608307865528,5146465.0
2017-08-02,149.94,150.86,149.92,150.5,3754192.0,0.0,1.0,138.68985938599093,139.54083091216884,138.67136000498706,139.20784205409922,3754192.0
2017-08-01,150.24,150.39,148.95,149.85,4110605.0,0.0,1.0,138.96735010104896,139.10609545857793,137.7741400262995,138.60661217147353,4110605.0
2017-07-31,148.0,149.98,147.54,149.6,5253318.0,0.0,1.0,136.89541942861584,138.72685814799866,136.4699336655269,138.3753699089252,5253318.0
2017-07-28,147.9,148.27,147.32,148.08,3421081.0,0.0,1.0,136.80292252359652,137.14516107216807,136.26644047448437,136.96941695263132,3421081.0
2017-07-27,146.18,147.86,145.89,147.73,5399029.0,0.0,1.0,135.21197575726396,136.7659237615888,134.94373473270787,136.64567778506364,5399029.0
2017-07-26,146.86,147.245,145.96,146.69,2835975.0,0.0,1.0,135.84095471139543,136.19706779571987,135.0084825662214,135.68370997286254,2835975.0
2017-07-25,145.74,147.4,145.28,146.97,5002381.0,0.0,1.0,134.80498937517888,136.34043799849985,134.37950361208993,135.9427013069167,5002381.0
2017-07-24,146.61,146.69,144.25,144.58,7294422.0,0.0,1.0,135.6097124488471,135.68370997286254,133.42678549039078,133.7320252769546,7294422.0
2017-07-21,147.03,147.46,146.13,146.65,9120167.0,0.0,1.0,135.9981994499283,136.39593614151144,135.16572730475428,135.64671121085482,9120167.0
2017-07-20,152.56,152.57,145.61,147.03,18258694.0,0.0,1.0,141.11327829749752,141.12252798799946,134.68474339865375,135.9981994499283,18258694.0
2017-07-19,152.55,154.0,152.55,153.3,2808385.0,0.0,1.0,141.1040286069956,142.44523372977594,141.1040286069956,141.7977553946406,2808385.0
2017-07-18,153.75,153.86,151.98,152.17,3783567.0,0.0,1.0,142.2139914672276,142.3157380627489,140.57679624838536,140.7525403679221,3783567.0
2017-07-17,152.9,154.5,152.72,153.89,4166468.0,0.0,1.0,141.42776777456328,142.90771825487263,141.26127334552845,142.34348713425467,4166468.0
2017-07-14,153.22,153.67,151.82,152.88,3588205.0,0.0,1.0,141.72375787062512,142.13999394321212,140.42880120035443,141.4092683935594,3588205.0
2017-07-13,152.82,154.13,152.6,153.29,3287961.0,0.0,1.0,141.3537702505478,142.5654797063011,141.15027705950524,141.78850570413866,3287961.0
2017-07-12,151.46,153.14,151.09,152.59,4275878.0,0.0,1.0,140.09581234228483,141.64976034660964,139.7535737937133,141.14102736900333,4275878.0
2017-07-11,151.45,151.81,150.5,150.6,5641983.0,0.0,1.0,140.08656265178288,140.4195515098525,139.20784205409922,139.30033895911856,5641983.0
2017-07-10,152.22,152.26,151.0,151.18,5081101.0,0.0,1.0,140.79878882043178,140.8357875824395,139.6703265791959,139.83682100823071,5081101.0
2017-07-07,152.04,152.87,151.9,152.23,3775383.0,0.0,1.0,140.63229439139698,141.40001870305747,140.5027987243699,140.8080385109337,3775383.0
2017-07-06,151.77,152.48,151.22,152.05,3408538.0,0.0,1.0,140.38255274784478,141.03928077348203,139.87381977023844,140.64154408189893,3408538.0
2017-07-05,154.01,154.295,151.46,152.69,4432537.0,0.0,1.0,142.45448342027788,142.71809959958298,140.09581234228483,141.23352427402264,4432537.0
2017-07-03,154.39,154.79,153.71,154.01,1658535.0,0.0,1.0,142.80597165935134,143.1759592794287,142.17699270521987,142.45448342027788,1658535.0
2017-06-30,152.51,154.0,152.27,153.4,3640801.0,0.0,1.0,141.06702984498784,142.44523372977594,140.84503727294145,141.89025229965995,3640801.0
2017-06-29,152.77,153.0,151.52,152.16,2855395.0,0.0,1.0,141.30752179803812,141.5202646795826,140.15131048529645,140.7432906774202,2855395.0
2017-06-28,152.75,153.45,152.36,153.23,5084618.0,0.0,1.0,141.28902241703426,141.9365007521696,140.92828448745885,141.73300756112707,5084618.0
2017-06-27,151.06,153.25,150.75,152.24,4567125.0,0.0,1.0,139.7258247222075,141.75150694213093,139.43908431664755,140.81728820143564,4567125.0
2017-06-26,151.67,151.97,151.13,151.42,4128535.0,0.0,1.0,140.29005584282544,140.56754655788345,139.790572555721,140.0588135802771,4128535.0
2017-06-23,155.16,155.23,150.91,151.31,11422231.0,0.0,1.0,143.51819782800024,143.58294566151375,139.5870793646785,139.95706698475584,11422231.0
2017-06-22,156.44,157.07,155.47,155.48,3347363.0,0.0,1.0,144.70215821224772,145.28488871386952,143.80493823356016,143.81418792406208,3347363.0
2017-06-21,157.91,158.53,156.43,156.59,4071298.0,0.0,1.0,146.06186271603195,146.63534352715183,144.6929085217458,144.8409035697767,4071298.0
2017-06-20,158.73,159.2242,157.6,157.67,4201226.0,0.0,1.0,146.8203373371905,147.27745704179605,145.775122310472,145.83987014398554,4201226.0
2017-06-19,156.91,159.03,156.39,158.81,5195484.0,0.0,1.0,145.13689366583858,147.0978280522485,144.65590975973805,146.89433486120598,5195484.0
2017-06-16,156.25,156.69,155.41,156.64,9105408.0,0.0,1.0,144.52641409271098,144.93340047479606,143.74944009054857,144.8871520222864,9105408.0
